gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
HRASLS2,decrease,,-1.6356,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
HRASLS2,decrease,,-1.6356,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
HSD11B1,decrease,,-1.2293,0.0376,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
HSD11B1,decrease,,-1.2293,0.0376,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
HSPA14,decrease,,-0.782,0.0456,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
HSPA14,decrease,,-0.782,0.0456,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
HSPA1A,decrease,,-1.2354,0.0302,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IFI6,decrease,,-1.6298,0.0029,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IFNG,decrease,,-1.1582,0.0275,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IFNG,decrease,,-1.1582,0.0275,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IFT57,decrease,,-0.9856,0.0434,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IFT57,decrease,,-0.9856,0.0434,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGF2,increase,,1.1597,0.035,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGF2,increase,,1.1597,0.035,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGH@,decrease,,-1.9428,0.0006,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGH@,decrease,,-1.7965,0.0006,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGHA1,decrease,,-1.7304,0.0041,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGHA1,decrease,,-1.2458,0.0182,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGJ,decrease,,-1.1884,0.004,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGJ,decrease,,-1.1884,0.004,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IGKC,decrease,,-1.6306,0.0,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IL1RAP,increase,,0.7597,0.0326,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IL1RAP,increase,,0.7597,0.0326,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
IL8,decrease,,-1.2899,0.0173,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
INSIG2,decrease,,-1.0482,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
INSIG2,decrease,,-1.0482,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ITGAD,decrease,,-1.1798,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ITGAD,decrease,,-1.1798,0.009,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ITGB3BP,decrease,,-1.1278,0.0111,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ITGB3BP,decrease,,-1.1278,0.0111,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
ITM2C,decrease,,-1.5573,0.0131,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
JRKL,decrease,,-1.0376,0.0226,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
JRKL,decrease,,-1.0376,0.0226,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KCNH8,decrease,,-1.0882,0.0455,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KCNH8,decrease,,-1.0882,0.0455,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KCNIP4,increase,,2861312,0.0197,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KCNK9,decrease,,-1.7519,0.0326,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA0265,increase,,0.9381,0.0305,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA0265,increase,,0.9381,0.0305,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA0367,decrease,,-1.4165,0.0246,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA0367,decrease,,-1.4165,0.0246,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1033,decrease,,-0.8977,0.0379,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1033,decrease,,-0.8977,0.0379,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1446,increase,,1.0456,0.0334,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1446,increase,,1.0456,0.0334,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1524,increase,,2345224,0.0352,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1598,decrease,,-0.8892,0.004,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1598,decrease,,-0.8892,0.004,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1704,decrease,,-1.0025,0.029,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1704,decrease,,-1.0025,0.029,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1804,increase,,516090,0.0294,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1804,increase,,516090,0.0294,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1841,decrease,,-1.2031,0.0275,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIAA1841,decrease,,-1.2031,0.0275,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KIR2DS1,decrease,,-1.3505,0.0237,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KLRC1,increase,,1306840,0.0014,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KLRC2,increase,,1436501,0.0041,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KRCC1,decrease,,-1.0706,0.0325,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KRCC1,decrease,,-1.0706,0.0325,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KRT5,decrease,,-1.9385,0.0065,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KRT72,increase,,1.1252,0.0358,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
KRT72,increase,,1.1252,0.0358,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LEPR,decrease,,-1.3509,0.0305,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LEPR,decrease,,-1.3509,0.0305,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC150763,decrease,,-1.2222,0.0392,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC150763,decrease,,-1.2222,0.0392,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC154822,increase,,184815,0.0167,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC154822,increase,,184815,0.0167,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC220594,decrease,,-0.7656,0.0481,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC220594,decrease,,-0.7656,0.0481,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC222005,increase,,749479,0.019,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC283588,increase,,0.8724,0.026,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC283588,increase,,0.8724,0.026,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC342994,decrease,,-1.3676,0.0232,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC342994,decrease,,-1.3676,0.0232,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC342994,increase,,1.866,0.0064,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC388401,decrease,,-1.0826,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC388401,decrease,,-1.0826,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC388401,increase,,213304,0.0372,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC389386,decrease,,-0.9412,0.0443,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC389386,decrease,,-0.9412,0.0443,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC389831,decrease,,-1.474,0.0127,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC389831,decrease,,-1.474,0.0127,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC391126,decrease,,-1.5694,0.0016,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC391126,decrease,,-1.5694,0.0016,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC391126,increase,,1408743,0.0024,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC400756,decrease,,-0.7782,0.0334,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC400756,decrease,,-0.7782,0.0334,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC441073,decrease,,-1.551,0.0166,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC441073,decrease,,-1.551,0.0166,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC441073,increase,,1506993,0.0036,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC441108,increase,,0.8668,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC441108,increase,,0.8668,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC641784,decrease,,-1.1254,0.0291,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC641784,decrease,,-1.1254,0.0291,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC641784,increase,,873297,0.0138,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC641790,decrease,,-1.2087,0.0216,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC641790,decrease,,-1.2087,0.0216,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC641790,increase,,1.687,0.0003,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC643932,decrease,,-1.1218,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC643932,decrease,,-1.1218,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC643932,increase,,859783,0.0064,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC646161,decrease,,-1.6214,0.0034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC646161,decrease,,-1.6214,0.0034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC649314,decrease,,-1.1072,0.0186,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC649314,decrease,,-1.1072,0.0186,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC649314,increase,,899959,0.0091,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC649839,decrease,,-1.0872,0.0263,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC649839,decrease,,-1.0872,0.0263,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC649839,increase,,374010,0.0195,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC652558,decrease,,-1.1142,0.0378,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC652558,decrease,,-1.1142,0.0378,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC652558,increase,,20455,0.0195,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC652890,decrease,,-1.2131,0.0334,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC652890,decrease,,-1.2131,0.0334,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,immediately after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC652890,increase,,77068,0.0246,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
LOC728516,decrease,,-1.6636,0.034,Blood,human,male,n/a,50-60,years,"microarray, qRT-PCR",mRNA,24 hrs after exercise,,">5 h per week for atletes and 0,5–3 h per week for control",athlete_vs_control,9+8,10.1371/journal.pone.0092031
